"REGION","COUNTRY","REPORTYEAR","POPULATION","donor_status","donor_type","donors"
"Europe","Albania",2010,3.2,"Actual","DBD",0
"Europe","Albania",2010,3.2,"Actual","DCD",0
"Europe","Albania",2011,3.2,"Actual","DBD",0
"Europe","Albania",2011,3.2,"Actual","DCD",0
"Europe","Albania",2011,3.2,"Utilized","DBD",0
"Europe","Albania",2011,3.2,"Utilized","DCD",0
"Europe","Albania",2012,3.2,"Actual","DBD",0
"Europe","Albania",2012,3.2,"Actual","DCD",0
"Europe","Albania",2012,3.2,"Utilized","DBD",0
"Europe","Albania",2012,3.2,"Utilized","DCD",0
"Europe","Albania",2014,3.2,"Actual","DBD",0
"Europe","Albania",2014,3.2,"Actual","DCD",0
"Africa","Algeria",2009,34.9,"Actual","DBD",0
"Africa","Algeria",2009,34.9,"Actual","DCD",0
"Africa","Algeria",2011,36,"Actual","DBD",0
"Africa","Algeria",2011,36,"Actual","DCD",0
"Africa","Algeria",2012,36.5,"Actual","DBD",1
"Africa","Algeria",2012,36.5,"Actual","DCD",0
"Africa","Algeria",2013,39.2,"Actual","DBD",0
"Africa","Algeria",2013,39.2,"Actual","DCD",0
"Africa","Algeria",2013,39.2,"Utilized","DBD",0
"Africa","Algeria",2013,39.2,"Utilized","DCD",0
"Africa","Algeria",2014,39.9,"Actual","DBD",1
"Africa","Algeria",2014,39.9,"Actual","DCD",0
"Africa","Algeria",2014,39.9,"Utilized","DBD",1
"Africa","Algeria",2014,39.9,"Utilized","DCD",0
"America","Argentina",2004,38.9,"Actual","DBD",403
"America","Argentina",2005,38.7,"Actual","DBD",407
"America","Argentina",2007,39.5,"Actual","DBD",486
"America","Argentina",2009,40.3,"Actual","DBD",500
"America","Argentina",2009,40.3,"Actual","DCD",0
"America","Argentina",2010,40.7,"Actual","DBD",583
"America","Argentina",2010,40.7,"Actual","DCD",0
"America","Argentina",2011,40.8,"Actual","DBD",604
"America","Argentina",2011,40.8,"Actual","DCD",0
"America","Argentina",2012,41.1,"Actual","DBD",630
"America","Argentina",2012,41.1,"Actual","DCD",0
"America","Argentina",2013,41.4,"Actual","DBD",568
"America","Argentina",2013,41.4,"Actual","DCD",0
"America","Argentina",2013,41.4,"Utilized","DBD",516
"America","Argentina",2013,41.4,"Utilized","DCD",0
"America","Argentina",2014,41.8,"Actual","DBD",555
"America","Argentina",2014,41.8,"Actual","DCD",0
"America","Argentina",2014,41.8,"Utilized","DBD",507
"America","Argentina",2014,41.8,"Utilized","DCD",0
"Europe","Armenia",2005,3,"Actual","DBD",0
"Europe","Armenia",2005,3,"Actual","DCD",0
"Europe","Armenia",2012,3.1,"Actual","DBD",0
"Europe","Armenia",2012,3.1,"Actual","DCD",0
"Europe","Armenia",2013,3,"Actual","DBD",0
"Europe","Armenia",2013,3,"Actual","DCD",0
